Scheme Name,State,Category,Gender,Max Annual Income,Benefit
Krishi Amrit,ANDAMAN AND NICOBAR ISLANDS,OBC,Male,220000,16000
The Progress Pathway,ANDAMAN AND NICOBAR ISLANDS,SC,Any,195000,8800
Golden Harvest Initiative,ANDAMAN AND NICOBAR ISLANDS,EWS,Male,560000,30500
Growth Genesis Grant,ANDAMAN AND NICOBAR ISLANDS,GENERAL,Female,270000,18000
Startup Synergy,ANDHRA PRADESH,GENERAL,Any,480000,28000
Empower India Scheme,ANDHRA PRADESH,ST,Female,275000,19500
Bright Futures Fund,ANDHRA PRADESH,OBC,Any,175000,9800
The Pioneer Platform,ANDHRA PRADESH,SC,Male,520000,30000
Vidya Jyoti,ARUNACHAL PRADESH,SC,Female,180000,9500
Upliftment Yojana,ARUNACHAL PRADESH,EWS,Male,530000,31500
Aspire & Achieve Program,ARUNACHAL PRADESH,GENERAL,Female,225000,13500
Igniting Innovation,ARUNACHAL PRADESH,ST,Any,185000,11500
Agniveer,ASSAM,ST,Male,280000,31000
Dharti Dhan Yojana,ASSAM,ST,Male,280000,19000
Samriddhi Setu,ASSAM,OBC,Any,165000,10200
The Progress Pathway,ASSAM,SC,Male,410000,25500
Golden Harvest Initiative,ASSAM,EWC,Female,250000,16000
Udyam Uday,BIHAR,EWS,Any,550000,32000
The Catalyst Fund,BIHAR,GENERAL,Female,245000,13500
Empower India Scheme,BIHAR,ST,Any,190000,11500
Udaan Scholarship,CHANDIGARH,OBC,Female,160000,11000
New Horizon Scheme,CHANDIGARH,SC,Male,460000,23500
Upliftment Yojana,CHANDIGARH,EWC,Female,285000,19500
Harit Kranti 2.0,DADRA AND NAGAR HAVELI,GENERAL,Male,240000,14000
Vision 20XX Initiative,DADRA AND NAGAR HAVELI,ST,Any,205000,9200
Samriddhi Setu,DADRA AND NAGAR HAVELI,OBC,Male,530000,31500
Navpravartan Nidhi,DAMAN AND DIU,SC,Any,420000,24000
Krishi Amrit,DAMAN AND DIU,EWC,Female,305000,17500
The Catalyst Fund,DAMAN AND DIU,GENERAL,Any,165000,8200
Bhavishya Nirman Yojana,DELHI,ST,Female,210000,8500
Startup Synergy,DELHI,OBC,Male,570000,29500
New Horizon Scheme,DELHI,SC,Female,275000,17500
Gramya Samriddhi,GOA,EWC,Male,310000,17000
Vidya Jyoti,GOA,GENERAL,Any,185000,11800
Vision 20XX Initiative,GOA,ST,Male,480000,28500
Fasal Fortuna,GUJARAT,OBC,Any,580000,31000
Dharti Dhan Yojana,GUJARAT,SC,Female,255000,14500
Krishi Amrit,GUJARAT,EWC,Any,205000,10200
Gyan Ganga Flow,HARYANA,GENERAL,Female,190000,10500
Udyam Uday,HARYANA,ST,Male,440000,26500
Startup Synergy,HARYANA,OBC,Female,265000,16500
Beej Se Bazaar Tak,HIMACHAL PRADESH,SC,Male,260000,15000
Udaan Scholarship,HIMACHAL PRADESH,EWS,Any,175000,8200
Vidya Jyoti,HIMACHAL PRADESH,GENERAL,Male,550000,32500
Atmanirbhar Abhiyan,JAMMU AND KASHMIR,ST,Any,450000,26000
Harit Kranti 2.0,JAMMU AND KASHMIR,OBC,Female,285000,20500
Dharti Dhan Yojana,JAMMU AND KASHMIR,SC,Any,180000,11800
Aakanksha Ascent,KARNATAKA,EWS,Female,170000,9000
Navpravartan Nidhi,KARNATAKA,GENERAL,Male,510000,30500
Udyam Uday,KARNATAKA,ST,Female,290000,20500
Soil & Soul Initiative,KERALA,OBC,Male,290000,20000
Bhavishya Nirman Yojana,KERALA,SC,Any,215000,9800
Udaan Scholarship,KERALA,EWC,Male,430000,23500
The Entrepreneurial Engine,LAKSHADWEEP,GENERAL,Any,520000,29000
Gramya Samriddhi,LAKSHADWEEP,ST,Female,235000,12500
Harit Kranti 2.0,LAKSHADWEEP,OBC,Any,195000,9500
The Learning Leap,MADHYA PRADESH,SC,Female,200000,10000
Fasal Fortuna,MADHYA PRADESH,EWC,Male,470000,22500
Navpravartan Nidhi,MADHYA PRADESH,GENERAL,Female,255000,14500
Cultivator's Catalyst,MAHARASHTRA,ST,Male,230000,13000
Beej Se Bazaar Tak,MAHARASHTRA,OBC,Any,205000,10800
Bhavishya Nirman Yojana,MAHARASHTRA,SC,Male,510000,29500
Venture Velocity Program,MANIPUR,EWC,Any,400000,23000
Atmanirbhar Abhiyan,MANIPUR,GENERAL,Female,265000,18500
Gramya Samriddhi,MANIPUR,ST,Any,170000,10500
Scholar's Spark Program,MEGHALAYA,OBC,Female,220000,8000
Aakanksha Ascent,MEGHALAYA,SC,Male,540000,32500
Fasal Fortuna,MEGHALAYA,EWC,Female,305000,21500
Business Bloom Scheme,MIZORAM,GENERAL,Male,270000,18000
Soil & Soul Initiative,MIZORAM,ST,Any,195000,8500
Beej Se Bazaar Tak,MIZORAM,OBC,Male,580000,33500
Future Forge Fellowship,NAGALAND,SC,Any,500000,30000
The Entrepreneurial Engine,NAGALAND,EWS,Female,245000,16500
Atmanirbhar Abhiyan,NAGALAND,GENERAL,Any,225000,8500
Growth Genesis Grant,ORISSA,ST,Female,185000,11500
The Learning Leap,ORISSA,OBC,Male,420000,24500
Aakanksha Ascent,ORISSA,SC,Female,245000,15500
The Pioneer Platform,PONDICHERRY,EWS,Male,250000,16500
Cultivator's Catalyst,PONDICHERRY,GENERAL,Any,185000,11200
Soil & Soul Initiative,PONDICHERRY,ST,Male,450000,26500
Prosperity Plough Program,PUNJAB,OBC,Any,430000,25000
Venture Velocity Program,PUNJAB,SC,Female,295000,21500
The Entrepreneurial Engine,PUNJAB,EWC,Any,215000,11200
EmpowerEd Initiative,RAJASTHAN,GENERAL,Female,215000,9500
Scholar's Spark Program,RAJASTHAN,ST,Male,590000,33500
